questions,answer,hints
भारत के घटक विधानसभा द्वारा राष्ट्रीय ध्वज के डिजाइन को अपनाया गया था,जुलाई 1947, 
लोकसभा के लिए चुनाव के लिए पात्र होने की न्यूनतम आयु है,25 साल, 
भारत में राज्यों की परिषद को आम तौर पर जाना जाता है:,राज्य सभा, 
राज्यसभा के सदस्यों को इस पद के लिए चुना जाता है,छः साल, 
पहली लोकसभा किस वर्ष में शुरू हुई:,1947, 
राज्य सभा की अधिकतम शक्ति (सदस्यों की संख्या):,238, 
राज्यसभा में राष्ट्रपति कितने प्रतिनिधि नियुक्त कर सकता है,12, 
धन विधेयक में राज्य सभा द्वारा संशोधन किया जा सकता है,असत्य, 
एक वर्ष में लोकसभा के कितने सत्र होते हैं:,3, 
कौन तय करता है कि कोई बिल मनी बिल है या नहीं:,लोकसभा अध्यक्ष, 
भारत का सर्वोच्च न्यायालय किस वर्ष में लागू हुआ था?,1950 जनवरी, 
भारत के पहले मुख्य न्यायाधीश कौन हैं?,हरीलाल ज कन्या, 
भारत में उच्च न्यायालय की कुल संख्या,24, 
सुप्रीम कोर्ट के मुख्य न्यायाधीश का मासिक वेतन क्या है?,1 लाख, 
उस वाइसराय का नाम बताइए जिसने 1940 में अगस्त ऑफर किया था?,लॉर्ड लिनलिथगो, 
बॉम्बे की योजना तैयार की गई थी,बंबई, 
आजाद हिंद सरकार की घोषणा सुभाष चंद्र बोस ने की थी:,1943, 
1876 में कलकत्ता के इंडियन एसोसिएशन की स्थापना किसने की?,सुरेंद्रनाथ बनर्जी, 
कलकत्ता से दिल्ली की राजधानी के स्थानांतरण की घोषणा की गई:,1911, 
भारतीय राष्ट्रीय कांग्रेस की पहली महिला अध्यक्ष कौन थी?,श्रीमती एनी बेसेंट, 
1906 में बिपिन चंद्र पाल द्वारा शुरू किए गए कागज का नाम बताइए?,वन्दे मातरम्, 
वन्दे मातरम्...,भारत के राष्ट्रपति, 
कौन निर्णय करता है कि कोई विधेयक धन विधेयक है या नहीं?,लोक सभा के अध्यक्ष, 
भारत के एक संघीय ढांचे को सबसे पहले आगे रखा गया था,1919 का अधिनियम, 
भारत में पहली पंचवर्षीय योजना किस वर्ष शुरू की गई थी?,1951, 
भारत का मुख्य विधि अधिकारी कौन है?,महान्यायवादी, 
संविधान सभा ने राष्ट्रीय ध्वज कब अपनाया?,22 जुलाई 1947, 
22 जुलाई 1947,लॉर्ड माउंट बैटन, 
"राष्ट्रीय ध्वज में, भगवा रंग क्या दर्शाता है?",त्याग की भावना, 
भारत का पहला चुनाव आयुक्त था,सुकुमार सेन, 
